column,description,code,rule
DOLocationID,'DOLocationID' is not null,".isComplete(""DOLocationID"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
DOLocationID,'DOLocationID' has no negative values,".isNonNegative(""DOLocationID"")","If we see only non-negative numbers in a column, we suggest a corresponding constraint"
improvement_surcharge,'improvement_surcharge' is not null,".isComplete(""improvement_surcharge"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
tpep_dropoff_datetime,'tpep_dropoff_datetime' is not null,".isComplete(""tpep_dropoff_datetime"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
PULocationID,'PULocationID' is not null,".isComplete(""PULocationID"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
PULocationID,'PULocationID' has no negative values,".isNonNegative(""PULocationID"")","If we see only non-negative numbers in a column, we suggest a corresponding constraint"
trip_distance,'trip_distance' is not null,".isComplete(""trip_distance"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
trip_distance,'trip_distance' has no negative values,".isNonNegative(""trip_distance"")","If we see only non-negative numbers in a column, we suggest a corresponding constraint"
Airport_fee,'Airport_fee' has less than 24% missing values,".hasCompleteness(""Airport_fee"", lambda x: x >= 0.76, ""It should be above 0.76!"")","If a column is incomplete in the sample, we model its completeness as a binomial variable, estimate a confidence interval and use this to define a lower bound for the completeness"
tolls_amount,'tolls_amount' is not null,".isComplete(""tolls_amount"")","If a column is complete in the sample, we suggest a NOT NULL constraint"
RatecodeID,"'RatecodeID' has value range '1', '2', '99', '5', '3', '4', '6'",".isContainedIn(""RatecodeID"", [""1"", ""2"", ""99"", ""5"", ""3"", ""4"", ""6""])","If we see a categorical range for a column, we suggest an IS IN (...) constraint"
RatecodeID,'RatecodeID' has value range '1' for at least 93.0% of values,".isContainedIn(""RatecodeID"", [""1""], lambda x: x >= 0.93, ""It should be above 0.93!"")","If we see a categorical range for most values in a column, we suggest an IS IN (...) constraint that should hold for most values"
RatecodeID,'RatecodeID' has no negative values,".isNonNegative(""RatecodeID"")","If we see only non-negative numbers in a column, we suggest a corresponding constraint"
